Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,42664.604000,-10.873,3.521,249.027,295.775,215.213,487.500,-35.040,4.510,2.980
1,42664.627000,-9.884,3.521,250.023,297.669,210.442,490.340,-28.040,5.510,3.980
2,42664.651000,-9.884,4.527,250.023,292.856,213.264,488.431,-18.040,8.510,4.980
3,42664.690000,-9.884,3.521,250.023,297.707,214.326,490.427,-20.040,8.510,3.980
4,42664.730000,-8.896,4.527,250.023,295.751,211.459,493.301,-22.040,7.510,3.980
5,42664.769000,-10.873,4.527,251.019,296.721,212.374,490.381,-16.040,8.510,3.980
6,42664.812000,-8.896,4.527,253.012,294.776,211.385,490.355,-24.040,7.510,3.980
7,42664.847000,-10.873,6.538,250.023,295.794,217.155,487.543,-22.040,7.510,3.980
8,42664.887000,-9.884,3.521,250.023,296.711,211.404,490.360,-21.040,8.510,3.980
9,42664.927000,-8.896,4.527,250.023,292.846,212.294,488.410,-22.040,7.510,4.980
10,42664.971000,-10.873,4.527,251.019,295.673,203.670,492.147,-21.040,8.510,4.980
11,42664.987000,-10.873,3.521,251.019,293.847,216.143,486.536,-21.040,8.510,3.980
12,42665.27000,-8.896,4.527,249.027,294.828,217.167,488.522,-21.040,7.510,3.980
13,42665.70000,-10.873,2.515,251.019,296.792,220.098,488.591,-21.040,9.510,3.980
14,42665.110000,-9.884,3.521,249.027,295.692,206.497,488.287,-21.040,8.510,3.980
15,42665.151000,-10.873,3.521,250.023,295.742,211.373,489.376,-19.040,7.510,3.980
16,42665.190000,-9.884,4.527,251.019,297.721,216.224,488.507,-21.040,8.510,3.980
17,42665.230000,-10.873,4.527,250.023,293.844,215.237,489.458,-21.040,7.510,4.980
18,42665.267000,-9.884,4.527,250.023,297.766,220.172,491.537,-20.040,7.510,3.980
19,42665.311000,-11.861,5.532,252.016,293.807,211.354,489.372,-22.040,7.510,3.980
20,42665.327000,-9.884,3.521,251.019,295.826,220.110,489.570,-22.040,7.510,3.980
21,42665.367000,-9.884,3.521,249.027,294.753,209.400,488.350,-22.040,7.510,4.980
